@relation test

@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute O numeric
@data
17.6,17.7,17.7,17.7,?
17.7,17.7,17.7,17.8,?
17.7,17.7,17.8,17.8,?
17.7,17.8,17.8,17.9,?
17.8,17.8,17.9,18,?
17.8,17.9,18,18.1,?
17.9,18,18.1,18.2,?
18,18.1,18.2,18.4,?
18.1,18.2,18.4,18.6,?
18.2,18.4,18.6,18.7,?
18.4,18.6,18.7,18.9,?
18.6,18.7,18.9,19.1,?
18.7,18.9,19.1,19.3,?
18.9,19.1,19.3,19.6,?
19.1,19.3,19.6,19.9,?
19.3,19.6,19.9,20.2,?
19.6,19.9,20.2,20.6,?
19.9,20.2,20.6,21,?
20.2,20.6,21,21.5,?
